不稳定,#genre#
CCTV4K超高清,http://111.170.156.74:3344/央卫频道/gitv.php?id=cctv4k
CCTV5体育,http://111.170.156.74:3344/咪咕高清/miguVIP.php?id=641886683
CCTV5+体育赛事,http://111.170.156.74:3344/咪咕高清/miguVIP.php?id=641886773
CCTV16奥林匹克,http://111.170.156.74:3344/央卫频道/gitv.php?id=cctv16
CCTV16奥林匹克,http://111.170.156.74:3344/ysp.php?id=CCTV16
CCTV16奥林匹克,http://111.170.156.74:3344/ysp.php?id=CCTV164K
天津5体育,http://111.170.156.74:3344/天津地方/wsd.php?id=30001110000000000000000000000692
山西文体生活,http://111.170.156.74:3344/地方频道/shanxi/shanxi.php?id=sxwtsh
江苏体育休闲,http://111.170.156.74:3344/地方频道/jiangsu/jiangsu.php?id=jsty
山东体育休闲,http://111.170.156.74:3344/山东频道/sdtv.php?id=txyx
广东体育,http://111.170.156.74:3344/广东地方/gdtv.php?id=47
黑龙江文体频道,http://111.170.156.74:3344/黑龙江频道/hljtv.php?id=hljwy
陕西体育休闲,http://111.170.156.74:3344/地方频道/shanxi2/shanxi.php?id=sxtyxx
北京卫视,http://111.170.156.74:3344/地方/地方/beijing/beijing.php?id=bjws
BRTV文艺,http://111.170.156.74:3344/地方/地方/beijing/beijing.php?id=bjwy
BRTV纪实科教,http://111.170.156.74:3344/地方/地方/beijing/beijing.php?id=bjjs
BRTV影视,http://111.170.156.74:3344/地方/地方/beijing/beijing.php?id=bjys
BRTV财经,http://111.170.156.74:3344/地方/地方/beijing/beijing.php?id=bjcj
BRTV体育休闲,http://111.170.156.74:3344/地方/地方/beijing/beijing.php?id=bjty
BRTV生活,http://111.170.156.74:3344/地方/地方/beijing/beijing.php?id=bjsh
BRTV新闻,http://111.170.156.74:3344/地方/地方/beijing/beijing.php?id=bjxw
卡酷少儿,http://111.170.156.74:3344/地方/地方/beijing/beijing.php?id=bjkk
安徽经济生活,http://111.170.156.74:3344/地方/地方/anhui/anhui.php?id=ahjjsh
安徽综艺体育,http://111.170.156.74:3344/地方/地方/anhui/anhui.php?id=ahzyty
安徽影视,http://111.170.156.74:3344/地方/地方/anhui/anhui.php?id=ahys
安徽公共,http://111.170.156.74:3344/地方/地方/anhui/anhui.php?id=ahgg
安徽农业科教,http://111.170.156.74:3344/地方/地方/anhui/anhui.php?id=ahnykj
安徽国际,http://111.170.156.74:3344/地方/地方/anhui/anhui.php?id=ahgj
安徽移动,http://111.170.156.74:3344/地方/地方/anhui/anhui.php?id=ahyd
蚌埠新闻,http://111.170.156.74:3344/地方/地方/anhui/anhuishixun.php?id=bbxw
淮北新闻综合,http://111.170.156.74:3344/地方/地方/anhui/anhuishixun.php?id=hbxwzh
安庆新闻综合,http://111.170.156.74:3344/地方/地方/anhui/anhuishixun.php?id=aqxwzh
六安综合,http://111.170.156.74:3344/地方/地方/anhui/anhuishixun.php?id=lazh
芜湖新闻综合,http://111.170.156.74:3344/地方/地方/anhui/anhuishixun.php?id=whxwzh
芜湖新闻综合,http://111.170.156.74:3344/地方/地方/anhui/wuhu.php?id=whxwzh
宣城综合,http://111.170.156.74:3344/地方/地方/anhui/anhuishixun.php?id=xczh
亳州综合,http://111.170.156.74:3344/地方/地方/anhui/bozhou.php?id=bzzh
亳州农村,http://111.170.156.74:3344/地方/地方/anhui/bozhou.php?id=bznc
芜湖生活,http://111.170.156.74:3344/地方/地方/anhui/wuhu.php?id=whsh
湖南经视,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=hnjs
湖南娱乐,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=hnyl
湖南电影,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=hndy
湖南都市,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=hnds
湖南电视剧,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=hndsj
湖南爱晚,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=hnaw
湖南国际,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=hngj
金鹰纪实,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=jyjs
金鹰卡通,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=jykt
先锋乒羽,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=xfpy
快乐垂钓,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=klcd
茶频道,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=cpd
长沙新闻综合,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=csxwzh
长沙政法频道,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=cszfpd
长沙女性频道,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=csnxpd
快乐购,http://111.170.156.74:3344/地方/地方/hunan/hunan.php?id=klg
邵阳新闻综合,http://111.170.156.74:3344/地方/地方/hunan/shaoyang.php?id=syxwzh
邵阳公共,http://111.170.156.74:3344/地方/地方/hunan/shaoyang.php?id=sygg
五星体育,http://111.170.156.74:3344/地方/地方/shanghai/shanghai.php?id=wxty
广东卫视,http://111.170.156.74:3344/广东地方/gdtv.php?id=43
广东珠江,http://111.170.156.74:3344/广东地方/gdtv.php?id=44
广东新闻,http://111.170.156.74:3344/广东地方/gdtv.php?id=45
广东民生,http://111.170.156.74:3344/广东地方/gdtv.php?id=48
广东体育,http://111.170.156.74:3344/广东地方/gdtv.php?id=47
大湾区卫视,http://111.170.156.74:3344/广东地方/gdtv.php?id=51
大湾区卫视（海外版）,http://111.170.156.74:3344/广东地方/gdtv.php?id=46
广东影视,http://111.170.156.74:3344/广东地方/gdtv.php?id=53
4K超高清,http://111.170.156.74:3344/广东地方/gdtv.php?id=16
广东少儿,http://111.170.156.74:3344/广东地方/gdtv.php?id=54
嘉佳卡通,http://111.170.156.74:3344/广东地方/gdtv.php?id=66
南方购物,http://111.170.156.74:3344/广东地方/gdtv.php?id=42
岭南戏曲,http://111.170.156.74:3344/广东地方/gdtv.php?id=15
广东移动,http://111.170.156.74:3344/广东地方/gdtv.php?id=74
广东台经典剧,http://111.170.156.74:3344/广东地方/gdtv.php?id=100
纪录片,http://111.170.156.74:3344/广东地方/gdtv.php?id=94
GRTN健康频道,http://111.170.156.74:3344/广东地方/gdtv.php?id=99
GRTN文化频道,http://111.170.156.74:3344/广东地方/gdtv.php?id=75
GRTN生活频道,http://111.170.156.74:3344/广东地方/gdtv.php?id=102
汕头综合,http://111.170.156.74:3344/广东地方/sttv.php?id=st1
汕头综合,http://111.170.156.74:3344/广东地方/sttv.php?id=st2
广州综合,http://111.170.156.74:3344/地方/地方/guangdong/guangzhou.php?id=zhonghe
广州综合,http://111.170.156.74:3344/地方频道/guangdong/guangzhou.php?id=zhonghe
广州新闻,http://111.170.156.74:3344/地方/地方/guangdong/guangzhou.php?id=xinwen
广州新闻,http://111.170.156.74:3344/地方频道/guangdong/guangzhou.php?id=xinwen
广州竞赛,http://111.170.156.74:3344/地方/地方/guangdong/guangzhou.php?id=jingsai
广州影视,http://111.170.156.74:3344/地方/地方/guangdong/guangzhou.php?id=yingshi
广州影视,http://111.170.156.74:3344/地方频道/guangdong/guangzhou.php?id=yingshi
广州法治,http://111.170.156.74:3344/地方/地方/guangdong/guangzhou.php?id=fazhi
广州南国都市,http://111.170.156.74:3344/地方/地方/guangdong/guangzhou.php?id=shenghuo
江门综合,http://111.170.156.74:3344/地方/地方/guangdong/jiangmen.php?id=jmzh
江门侨乡生活,http://111.170.156.74:3344/地方/地方/guangdong/jiangmen.php?id=jmqxsh
揭阳综合,http://111.170.156.74:3344/地方/地方/guangdong/jieyang.php?id=jyzh
揭阳生活,http://111.170.156.74:3344/地方/地方/guangdong/jieyang.php?id=jysh
汕头频道,http://111.170.156.74:3344/地方/地方/guangdong/shantou.php
南国都市,http://111.170.156.74:3344/地方频道/guangdong/guangzhou.php?id=shenghuo
广州都市频道,http://111.170.156.74:3344/地方频道/guangdong/shenzhen.php?id=szds
电视剧频道,http://111.170.156.74:3344/地方频道/guangdong/shenzhen.php?id=szdsj
财经生活,http://111.170.156.74:3344/地方频道/guangdong/shenzhen.php?id=szcj
少儿频道,http://111.170.156.74:3344/地方频道/guangdong/shenzhen.php?id=szse
移动电视,http://111.170.156.74:3344/地方频道/guangdong/shenzhen.php?id=szyd
宜和购物,http://111.170.156.74:3344/地方频道/guangdong/shenzhen.php?id=szyh
国际频道,http://111.170.156.74:3344/地方频道/guangdong/shenzhen.php?id=szgj
湛江综合,http://111.170.156.74:3344/地方频道/guangdong/zhanjiang.php?id=zjzh
湛江公共,http://111.170.156.74:3344/地方频道/guangdong/zhanjiang.php?id=zjgg
山东卫视,http://111.170.156.74:3344/山东频道/sdtv.php?id=sdws
山东卫视,http://111.170.156.74:3344/地方/地方/shandong/sdtv.php?id=sdws
山东新闻,http://111.170.156.74:3344/山东频道/sdtv.php?id=xwpd
山东新闻,http://111.170.156.74:3344/地方/地方/shandong/sdtv.php?id=sdxw
山东齐鲁,http://111.170.156.74:3344/山东频道/sdtv.php?id=qlpd
山东齐鲁,http://111.170.156.74:3344/地方/地方/shandong/sdtv.php?id=sdql
山东体育休闲,http://111.170.156.74:3344/山东频道/sdtv.php?id=txyx
山东体育休闲,http://111.170.156.74:3344/地方/地方/shandong/sdtv.php?id=sdty
山东生活,http://111.170.156.74:3344/山东频道/sdtv.php?id=shpd
山东生活,http://111.170.156.74:3344/地方/地方/shandong/sdtv.php?id=sdsh
山东综艺,http://111.170.156.74:3344/山东频道/sdtv.php?id=zypd
山东综艺,http://111.170.156.74:3344/地方/地方/shandong/sdtv.php?id=sdzy
山东文旅,http://111.170.156.74:3344/山东频道/sdtv.php?id=wlpd
山东文旅,http://111.170.156.74:3344/地方/地方/shandong/sdtv.php?id=sdwl
山东农科,http://111.170.156.74:3344/山东频道/sdtv.php?id=nkpd
山东农科,http://111.170.156.74:3344/地方/地方/shandong/sdtv.php?id=sdnk
山东少儿,http://111.170.156.74:3344/山东频道/sdtv.php?id=sepd
山东少儿,http://111.170.156.74:3344/地方/地方/shandong/sdtv.php?id=sdse
济南新闻综合频道,http://111.170.156.74:3344/地方/地方/shandong/jinan.php?id=1676
济南新闻综合频道,http://111.170.156.74:3344/地方频道/shandong/jinan.php?id=1676
济南都市频道,http://111.170.156.74:3344/地方/地方/shandong/jinan.php?id=1807
济南都市频道,http://111.170.156.74:3344/地方频道/shandong/jinan.php?id=1807
济南文旅体育频道,http://111.170.156.74:3344/地方/地方/shandong/jinan.php?id=1842
济南文旅体育频道,http://111.170.156.74:3344/地方频道/shandong/jinan.php?id=1842
济南生活频道,http://111.170.156.74:3344/地方/地方/shandong/jinan.php?id=1855
济南生活频道,http://111.170.156.74:3344/地方频道/shandong/jinan.php?id=1855
