组播,#genre#
蒙阴综合频道,http://144.255.31.236:6688/udp/239.21.2.23:5002
单县综合频道,http://144.255.31.236:6688/udp/239.21.2.21:5002
济阳综合频道,http://144.255.31.236:6688/udp/239.21.1.187:5002
滨州综合频道,http://144.255.31.236:6688/udp/239.21.1.238:5002
济南教育频道,http://144.255.31.236:6688/udp/239.21.1.133:5002
青岛1,http://144.255.31.236:6688/udp/239.21.1.69:5002
青岛2,http://144.255.31.236:6688/udp/239.21.1.70:5002
青岛3,http://144.255.31.236:6688/udp/239.21.1.71:5002
青岛4,http://144.255.31.236:6688/udp/239.21.1.72:5002
青岛5,http://144.255.31.236:6688/udp/239.21.1.73:5002
青岛6,http://144.255.31.236:6688/udp/239.21.1.74:5002
济南娱乐,http://144.255.31.236:6688/udp/239.21.1.66:5002
济南少儿,http://144.255.31.236:6688/udp/239.21.1.68:5002
济南影视,http://144.255.31.236:6688/udp/239.21.1.65:5002
济南生活,http://144.255.31.236:6688/udp/239.21.1.64:5002
济南都市,http://144.255.31.236:6688/udp/239.21.1.63:5002
济南鲁中,http://144.255.31.236:6688/udp/239.21.1.149:5002
烟台公共,http://144.255.31.236:6688/udp/239.21.1.117:5002
宁阳2,http://144.255.31.236:6688/udp/239.21.1.144:5002
菏泽2,http://144.255.31.236:6688/udp/239.21.2.18:5002
济宁公共,http://144.255.31.236:6688/udp/239.21.2.20:5002
济宁生活,http://144.255.31.236:6688/udp/239.21.1.139:5002
沂源新闻,http://144.255.31.236:6688/udp/239.21.1.114:5002
淄博生活,http://144.255.31.236:6688/udp/239.21.1.109:5002
淄博都市,http://144.255.31.236:6688/udp/239.21.1.83:5002
BRTV纪实科教,http://144.255.31.236:6688/udp/239.21.1.172:5002
湖南金鹰纪实,http://144.255.31.236:6688/udp/239.21.1.170:5002
上海纪实人文,http://144.255.31.236:6688/udp/239.21.1.171:5002
CETV1,http://144.255.31.236:6688/udp/239.21.2.7:5002
中国交通,http://144.255.31.236:6688/udp/239.21.1.115:5002
海看剧场,http://144.255.31.236:6688/udp/239.21.1.98:5002
东明1,http://144.255.31.236:6688/udp/239.21.1.246:5002
东营公共,http://144.255.31.236:6688/udp/239.21.1.82:5002
东营新闻,http://144.255.31.236:6688/udp/239.21.1.81:5002
冠县综合,http://144.255.31.236:6688/udp/239.21.1.250:5002
寿光蔬菜,http://144.255.31.236:6688/udp/239.21.1.218:5002
惠民综合,http://144.255.31.236:6688/udp/239.21.1.181:5002
日照新闻,http://144.255.31.236:6688/udp/239.21.1.79:5002
日照科教,http://144.255.31.236:6688/udp/239.21.1.80:5002
栖霞综合,http://144.255.31.236:6688/udp/239.21.1.229:5002
桓台综合,http://144.255.31.236:6688/udp/239.21.1.105:5002
滨州公共,http://144.255.31.236:6688/udp/239.21.1.119:5002
滨州新闻,http://144.255.31.236:6688/udp/239.21.1.118:5002
潍坊寿光新闻,http://144.255.31.236:6688/udp/239.21.1.180:5002
牟平新闻,http://144.255.31.236:6688/udp/239.21.2.10:5002
牟平生活,http://144.255.31.236:6688/udp/239.21.2.11:5002
菏泽1,http://144.255.31.236:6688/udp/239.21.1.103:5002
